"projectID";"topic";"title"
"246536";"FP7-PEOPLE-COFUND-2008";"Marie Curie Action: ""Co-funding of Regional, National and International Programmes"""
"229723";"PEOPLE-2007-2-3.COFUND";"Marie Curie Action: ""Co-funding of Regional, National and International Programmes """
"228740";"FP7-2008-PEOPLE-NIGHT";"Marie Curie Action: ""Researchers' Night 2008"""
"295053";"INCO.2011-6.2";"Mediterranean Countries: Morocco, Algeria, Tunisia, Libya, Egypt, Jordan, Palestinian-administered Areas, Lebanon, Syria"
"222137";"SME-1";"Research for SMEs"
"314171";"SME-2012-3";"Demonstration activity"
"600411";"FP7-PEOPLE-2012-COFUND";"Marie-Curie Action: ""Co-funding of regional, National and International Programmes"""
"316097";"REGPOT-2012-2013-1";"Any research topic covered by the EU FP7"
"276694";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"618537";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"236183";"FP7-PEOPLE-IOF-2008";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"631265";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"295218";"FP7-PEOPLE-2011-IRSES";"Marie Curie Action ""International Research Staff Exchange Scheme"""
"317587";"ICT-2011.8.1";"Technology-enhanced learning"
"216710";"ICT-2007.4.2";"Intelligent content and semantics (ICT-2007.4.2)"
"266155";"INCO.2010-6.1";"Eastern Europe and South Caucasus: Moldova, Georgia, Ukraine, Belarus, Armenia, Azerbaijan"
"609534";"INCO.2013-9.1";"Reinforcing cooperation with European Neighbourhood Policy countries on bridging the gap between research and innovation (R2I-ENP)"
"609553";"INCO.2013-9.1";"Reinforcing cooperation with European Neighbourhood Policy countries on bridging the gap between research and innovation (R2I-ENP)"
"229553";"REGPOT-2008-1-01";"Any research topic covered by the EC FP7 (EC/EP Decision No 1982/2006/EC of 18 December 2006, published in the Official Journal 30.12.2006 L 412)"""
"285939";"REGPOT-2011-1";"Any research topic covered by the EU FP7"
"244230";"FP7-PEOPLE-2009-NIGHT";"Marie Curie Action: ""Researchers' Night 2009"""
"320845";"ERC-AG-PE1";"ERC Advanced Grant - Mathematical foundations"
"224929";"PEOPLE-2007-2-2.ERG";"Marie Curie Action: ""European Reintegration Grants"""
"287091";"REGIONS-2011-1";"Economic sustainable development by boosting the competitiveness of transport-related economy"
"322155";"FP7-PEOPLE-2012-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"287505";"FP7-PEOPLE-2011-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"277016";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"268262";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"239433";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"300027";"FP7-PEOPLE-2011-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"208801";"PEOPLE-2007-4-3.IRG";"Marie Curie Action: ""International Reintegration Grants"""
"304867";"HEALTH.2012.4.1-4";"Communicating the benefits of European research to the general public"
"268155";"ERC-AG-LS6";"ERC Advanced Grant - Immunity and infection"
"609966";"FP7-PEOPLE-2013-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"221320";"PEOPLE-2007-2-1.IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"281957";"ERC-SG-SH2";"ERC Starting Grant - Institutions, values, beliefs and behaviour"
"628159";"FP7-PEOPLE-2013-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"274333";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"234252";"SST.2008.5.2.1.";"Innovative product concepts"
"234252";"SST.2008.5.2.2.";"Competitive transport operations"
"236694";"FP7-PEOPLE-IEF-2008";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"235461";"FP7-PEOPLE-IEF-2008";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"298376";"FP7-PEOPLE-2011-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"254919";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"200426";"AAT-2007-7.0-05";"Stimulating participation of small and medium size enterprises (SME)"
"200426";"AAT-2007-7.0-06";"Stimulating improved participation of  Member States with aeronautical R&D potential"
"267139";"FP7-PEOPLE-2010-COFUND";"Marie-Curie Action: ""Co-funding of regional, National and International Programmes"""
"612585";"FP7-PEOPLE-2013-IRSES";"Marie Curie Action ""International Research Staff Exchange Scheme"""
"265668";"FP7-PEOPLE-2009-NIGHT";"Marie Curie Action: ""Researchers' Night 2009"""
"266200";"ENV.2010.3.1.1-3";"Decentralised water supply and sanitation technologies and systems for small communities and peri-urban areas"
"999902";"JTI-CS-GRA";"Clean Sky - Green Regional Aircraft"
"287431";"FP7-PEOPLE-2011-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"230126";"REGPOT-2008-1-01";"Any research topic covered by the EC FP7 (EC/EP Decision No 1982/2006/EC of 18 December 2006, published in the Official Journal 30.12.2006 L 412)"""
"200190";"PEOPLE-2007-5-1.NIGHT";"Marie Curie Action: ""Researchers' Night 2007"""
"244942";"FP7-PEOPLE-2009-NIGHT";"Marie Curie Action: ""Researchers' Night 2009"""
"228661";"FP7-2008-PEOPLE-NIGHT";"Marie Curie Action: ""Researchers' Night 2008"""
"237645";"FP7-PEOPLE-IEF-2008";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"291300";"ERC-AG-ID1";"ERC Advanced Grant Interdisciplinary Panel"
"328138";"FP7-PEOPLE-2012-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"239378";"PEOPLE-2007-4-3.IRG";"Marie Curie Action: ""International Reintegration Grants"""
"253014";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"268359";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"236316";"FP7-PEOPLE-IOF-2008";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"329776";"FP7-PEOPLE-2012-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"220202";"PEOPLE-2007-4-2.IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"629556";"FP7-PEOPLE-2013-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"256468";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"239517";"FP7-PEOPLE-ERG-2008";"Marie Curie Action: ""European Reintegration Grants"""
"331947";"FP7-PEOPLE-2012-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"228619";"FP7-2008-PEOPLE-NIGHT";"Marie Curie Action: ""Researchers' Night 2008"""
"244954";"FP7-PEOPLE-2009-NIGHT";"Marie Curie Action: ""Researchers' Night 2009"""
"609662";"FP7-PEOPLE-2013-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"316436";"FP7-PEOPLE-2012-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"265387";"FP7-PEOPLE-2009-NIGHT";"Marie Curie Action: ""Researchers' Night 2009"""
"609756";"FP7-PEOPLE-2013-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"316352";"FP7-PEOPLE-2012-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"287363";"FP7-PEOPLE-2011-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"250465";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"609704";"FP7-PEOPLE-2013-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"316608";"FP7-PEOPLE-2012-NIGHT";"Marie-Curie Action: ""Researchers' Night"""
"301344";"FP7-PEOPLE-2011-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"299660";"FP7-PEOPLE-2011-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"631127";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"328763";"FP7-PEOPLE-2012-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"269118";"FP7-PEOPLE-2010-IRSES";"Marie Curie Action ""International Research Staff Exchange Scheme"""
"293456";"FP7-PEOPLE-2011-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"328029";"FP7-PEOPLE-2012-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"328345";"FP7-PEOPLE-2012-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"262482";"SME-1";"Research for SMEs"
"265809";"SST.2010.1.1-2.";"Energy efficiency of ships"
"291803";"FP7-PEOPLE-2011-COFUND";"Marie-Curie Action: ""Co-funding of regional, National and International Programmes"""
"248376";"ICT-2009.9.1";"International Cooperation"
"215010";"ICT-2007.9.1";"International cooperation"
"311710";"ERC-SG-LS5";"ERC Starting Grant - Neurosciences and neural disorders"
"221380";"PEOPLE-2007-4-2.IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"252258";"FP7-PEOPLE-2009-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"236099";"FP7-PEOPLE-IIF-2008";"Marie Curie Action: ""International Incoming Fellowships"""
"335980";"ERC-SG-LS2";"ERC Starting Grant - Genetics,Genomics,Bioinformatics and Systems Biology"
"309834";"ERC-SG-LS8";"ERC Starting Grant - Evolutionary, population and environmental biology"
"225076";"PEOPLE";"Marie-Curie Actions"
"235044";"SiS";"Science in Society"
"909806";"FP7-PEOPLE-IIF-2008";"Marie Curie Action: ""International Incoming Fellowships"""
"617678";"ERC-CG-2013-SH4";"ERC Consolidator Grant - The Human Mind and its Complexity"
"237806";"FP7-PEOPLE-IIF-2008";"Marie Curie Action: ""International Incoming Fellowships"""
"911660";"FP7-PEOPLE-2011-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"253323";"FP7-PEOPLE-2009-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"631323";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"334056";"FP7-PEOPLE-2012-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"631738";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"628136";"FP7-PEOPLE-2013-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"611714";"ICT-2013.5.1";"Personalised health, active ageing, and independent living"
"302530";"FP7-PEOPLE-2011-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"254983";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"229977";"SiS-2008-3.0.3.1";"Encouraging cooperation and networking between scientific events organisers on public engagement with science"
"321833";"FP7-PEOPLE-2012-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"242949";"ERC-SG-LS9";"ERC Starting Grant - Applied life sciences and biotechnology"
"618251";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"294150";"FP7-PEOPLE-2011-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"230974";"FP7-PEOPLE-ERG-2008";"Marie Curie Action: ""European Reintegration Grants"""
"251668";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"262159";"INFRA-2010-3.2";"Studies, conferences and coordination actions supporting policy development, including international cooperation, for research infrastructures in all S&T fields."
"244493";"INCO-2009-5.1";"Supporting the EU access to third country programmes"
"298364";"FP7-PEOPLE-2011-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"203481";"ERC-SG-PE2";"ERC Starting Grant - Fundamental constituents of matter"
"631512";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"221158";"PEOPLE-2007-2-1.IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"310612";"ERC-SG-LS7";"Applied life sciences, biotechnology and bioengineering: agricultural, animal, fishery, forestry/food sciences; biotechnology, chemical biology, genetic engineering, synthetic biology, industrial biosciences; environmental biotechnology."
"328446";"FP7-PEOPLE-2012-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"229627";"REGPOT-2008-2-01";"Any research topic covered by the EC FP7 (EC/EP Decision No 1982/2006/EC of 18 December 2006, published in the Official Journal 30.12.2006 L 412)"
"231549";"ICT-2007.9.2";"International cooperation"
"218493";"SST-2007-4.1-01";"Safety and security by design"
"209938";"PEOPLE-2007-4-3.IRG";"Marie Curie Action: ""International Reintegration Grants"""
"226653";"PEOPLE-2007-2-2.ERG";"Marie Curie Action: ""European Reintegration Grants"""
"302004";"FP7-PEOPLE-2011-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"324495";"FP7-PEOPLE-2012-IAPP";"Marie Curie Action: ""Industry-Academia Partnerships and Pathways"""
"250128";"ERC-AG-LS5";"ERC Advanced Grant - Neurosciences and neural disorders"
"624199";"FP7-PEOPLE-2013-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"246918";"ERC-AG-PE1";"ERC Advanced Grant - Mathematical foundations"
"307179";"ERC-SG-PE1";"ERC Starting Grant - Mathematical foundations"
"622478";"FP7-PEOPLE-2013-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"910608";"FP7-PEOPLE-2010-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"222125";"SME-1";"Research for SMEs"
"229571";"PEOPLE-2007-2-3.COFUND";"Marie Curie Action: ""Co-funding of Regional, National and International Programmes """
"243632";"SME-2";"Research for SME associations"
"293897";"FP7-PEOPLE-2011-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"256429";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"248053";"Galileo.2008.4.3.1";"International activities"
"248115";"Galileo.2008.1.1.1";"Use of EGNOS services for mass market"
"228401";"GALILEO-2007-1.4-01";"Accelerating EGNOS Adoption in Aviation"
"228357";"GALILEO-2007-1.7-01";"Open Call for Focused Innovative Projects in Mass-Market GNSS Applications"
"228237";"GALILEO-2007-1.7-01";"Open Call for Focused Innovative Projects in Mass-Market GNSS Applications"
"228362";"GALILEO-2007-4.3-01";"International"
"247605";"Galileo.2008.1.4.1";"Use of EGNOS for safety-of-life applications"
"287169";"Galileo.2011.4.3-1.";"International activities"
"247920";"Galileo.2008.4.3.1";"International activities"
"228443";"GALILEO-2007-1.7-01";"Open Call for Focused Innovative Projects in Mass-Market GNSS Applications"
"227642";"GALILEO-2007-1.4-01";"Accelerating EGNOS Adoption in Aviation"
"277699";"Galileo.2011.1.7-1.";"Use of Galileo and EGNOS services for mass market and in niche sectors (to be mainly provided by SMEs)"
"247983";"Galileo.2008.1.1.1";"Use of EGNOS services for mass market"
"247983";"Galileo.2008.1.2.1";"Use of EGNOS services for professional applications"
"237404";"FP7-PEOPLE-IEF-2008";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"243195";"ERC-SG-LS9";"ERC Starting Grant - Applied life sciences and biotechnology"
"254528";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"330055";"FP7-PEOPLE-2012-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"222045";"SME-1";"Research for SMEs"
"337665";"ERC-SG-SH1";"ERC Starting Grant - Individuals, institutions and markets"
"618562";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"338187";"ERC-SG-SH1";"ERC Starting Grant - Individuals, institutions and markets"
"240910";"ERC-SG-SH1";"ERC Starting Grant - Individuals, institutions and markets"
"309337";"ERC-SG-LS7";"Applied life sciences, biotechnology and bioengineering: agricultural, animal, fishery, forestry/food sciences; biotechnology, chemical biology, genetic engineering, synthetic biology, industrial biosciences; environmental biotechnology."
"274139";"FP7-PEOPLE-2010-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"912716";"FP7-PEOPLE-2012-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"306299";"ERC-SG-PE9";"ERC Starting Grant - Universe sciences"
"200911";"ERC-SG-PE7";"ERC Starting Grant - Systems and communication engineering"
"322259";"FP7-PEOPLE-2012-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"331158";"FP7-PEOPLE-2012-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"259196";"ERC-SG-PE2";"ERC Starting Grant - Fundamental constituents of matter"
"211257";"INFRA-2007-2.2-01";"Preparatory phase for the projects in the 2006 ESFRI Roadmap"
"268245";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"311152";"ERC-SG-LS9";"ERC Starting Grant - Applied life sciences and biotechnology"
"294932";"INCO.2011-6.1";"Eastern Europe and South Caucasus: Moldova, Georgia, Ukraine, Belarus, Armenia, Azerbaijan"
"286927";"SME-2011-2";"Research for SME associations"
"307937";"ERC-SG-PE6";"ERC Starting Grant - Computer science and informatics"
"230640";"PEOPLE-2007-4-3.IRG";"Marie Curie Action: ""International Reintegration Grants"""
"615172";"ERC-CG-2013-PE6";"ERC Consolidator Grant - Computer Science and Informatics"
"251681";"FP7-PEOPLE-2009-IAPP";"Marie Curie Action: ""Industry-Academia Partnerships and Pathways"""
"324591";"ERC-OA-2012-PoC";"European Research Council ERC Proof of Concept"
"221205";"PEOPLE-2007-4-3.IRG";"Marie Curie Action: ""International Reintegration Grants"""
"626208";"FP7-PEOPLE-2013-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"616103";"ERC-CG-2013-SH2";"ERC Consolidator Grant - Institutions, Values, Beliefs and behaviour"
"290981";"ERC-AG-PE3";"ERC Advanced Grant - Condensed matter physics"
"219514";"PEOPLE-2007-4-1.IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"293932";"FP7-PEOPLE-2011-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"212057";"INFRA-2007-2.2-01";"Preparatory phase for the projects in the 2006 ESFRI Roadmap"
"909391";"FP7-PEOPLE-IIF-2008";"Marie Curie Action: ""International Incoming Fellowships"""
"236391";"FP7-PEOPLE-IIF-2008";"Marie Curie Action: ""International Incoming Fellowships"""
"261894";"SME-1";"Research for SMEs"
"300410";"FP7-PEOPLE-2011-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"910048";"FP7-PEOPLE-2010-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"218285";"SEC-2007-6.1-03";"Communication strategies of public authorities (including media strategies) before, during and after crises concerning risks, security threats and measures"
"277172";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"221832";"PEOPLE-2007-4-1.IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"256941";"ERC-SG-PE6";"ERC Starting Grant - Computer science and informatics"
"230674";"FP7-PEOPLE-IAPP-2008";"Marie Curie Action: ""Industry-Academia Partnerships and Pathways"""
"254334";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"237667";"FP7-PEOPLE-IEF-2008";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"208740";"ERC-SG-PE2";"ERC Starting Grant - Fundamental constituents of matter"
"255624";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"288989";"SiS.2011.2.2.1-1";"Supporting and coordinating actions on innovative methods in science education: teacher training on inquiry based teaching methods on a large scale in Europe"
"256220";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"254408";"FP7-PEOPLE-2009-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"224783";"PEOPLE-2007-4-3.IRG";"Marie Curie Action: ""International Reintegration Grants"""
"291851";"FP7-PEOPLE-2011-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"625064";"FP7-PEOPLE-2013-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"230914";"PEOPLE-2007-2-2.ERG";"Marie Curie Action: ""European Reintegration Grants"""
"319114";"NMP.2012.4.0-4";"Organisation of events related to the Presidencies of the European Union"
"309495";"ERC-SG-LS7";"Applied life sciences, biotechnology and bioengineering: agricultural, animal, fishery, forestry/food sciences; biotechnology, chemical biology, genetic engineering, synthetic biology, industrial biosciences; environmental biotechnology."
"262411";"SME-1";"Research for SMEs"
"326476";"FP7-PEOPLE-2012-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"322019";"FP7-PEOPLE-2012-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"261302";"ERC-SG-LS7";"Applied life sciences, biotechnology and bioengineering: agricultural, animal, fishery, forestry/food sciences; biotechnology, chemical biology, genetic engineering, synthetic biology, industrial biosciences; environmental biotechnology."
"239276";"PEOPLE-2007-2-2.ERG";"Marie Curie Action: ""European Reintegration Grants"""
"276987";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"235486";"FP7-PEOPLE-IEF-2008";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"618321";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"628384";"FP7-PEOPLE-2013-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"618188";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"273524";"FP7-PEOPLE-2010-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"247384";"ERC-AG-PE5";"ERC Advanced Grant - Materials and Synthesis"
"315421";"SME-2012-1";"Research for SMEs"
"268232";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"255128";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"246657";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"216751";"ICT-2007.1.1";"The network of the future"
"286753";"SME-2011-1";"Research for SMEs"
"219612";"PEOPLE-2007-2-1.IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"256624";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"329313";"FP7-PEOPLE-2012-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"334213";"FP7-PEOPLE-2012-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"336012";"ERC-SG-PE3";"ERC Starting Grant - Condensed matter physics"
"618487";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"236088";"FP7-PEOPLE-IIF-2008";"Marie Curie Action: ""International Incoming Fellowships"""
"273845";"FP7-PEOPLE-2010-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"331962";"FP7-PEOPLE-2012-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"251958";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"913590";"FP7-PEOPLE-2013-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"235794";"FP7-PEOPLE-IEF-2008";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"613004";"SSH.2013.4.1-1";"Security and democracy in the neighbourhood: the case of the Caucasus"
"255533";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"248804";"ICT-2009.8.10";"Identifying new research topics, Assessing emerging global S&T trends in ICT for future FET Proactive initiatives"
"609118";"NMP.2013.4.0-9";"Organisation of events, including those related to the Presidencies of the European Union"
"303571";"FP7-PEOPLE-2011-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"297520";"ERC-OA-2011-PoC";"European Research Council ERC Proof of Concept"
"254044";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
